star,year,award
 Anthony Hopkins ,2020,Oscar
 Al Pacino ,2020,Oscar
 Joe Pesci ,2020,Oscar
 Renée Zellweger ,2020,Oscar
 Cynthia Erivo ,2020,Oscar
 Scarlett Johansson ,2020,Oscar
 Saoirse Ronan ,2020,Oscar
 Charlize Theron ,2020,Oscar
 Laura Dern ,2020,Oscar
 Kathy Bates ,2020,Oscar
 Scarlett Johansson ,2020,Oscar
 Florence Pugh ,2020,Oscar
 Margot Robbie ,2020,Oscar
Isabelle Huppert,2020,Golden Globes
Amy Adams,2020,Golden Globes
Jessica Chastain,2020,Golden Globes
Ruth Negga,2020,Golden Globes
Natalie Portman,2020,Golden Globes
Brie Larson,2019,Golden Globes
Saoirse Ronan,2019,Golden Globes
Cate Blanchett,2019,Golden Globes
Rooney Mara,2019,Golden Globes
Alicia Vikander,2019,Golden Globes
Julianne Moore,2018,Golden Globes
Reese Witherspoon,2018,Golden Globes
Jennifer Aniston,2018,Golden Globes
Felicity Jones,2018,Golden Globes
Rosamund Pike,2018,Golden Globes
Cate Blanchett,2017,Golden Globes
Sandra Bullock,2017,Golden Globes
Judi Dench,2017,Golden Globes
Kate Winslet,2017,Golden Globes
Emma Thompson,2017,Golden Globes
Jessica Chastain,2016,Golden Globes
Naomi Watts,2016,Golden Globes
Rachel Weisz,2016,Golden Globes
Marion Cotillard,2016,Golden Globes
Helen Mirren,2016,Golden Globes
Meryl Streep,2015,Golden Globes
Glenn Close,2015,Golden Globes
Viola Davis,2015,Golden Globes
Rooney Mara,2015,Golden Globes
Tilda Swinton,2015,Golden Globes
Natalie Portman,2014,Golden Globes
Nicole Kidman,2014,Golden Globes
Jennifer Lawrence,2014,Golden Globes
Michelle Williams,2014,Golden Globes
Halle Berry,2014,Golden Globes
Sandra Bullock,2013,Golden Globes
Emily Blunt,2013,Golden Globes
Helen Mirren,2013,Golden Globes
Carey Mulligan,2013,Golden Globes
Gabourey Sidibe,2013,Golden Globes
Kate Winslet,2012,Golden Globes
Meryl Streep,2012,Golden Globes
Anne Hathaway,2012,Golden Globes
Angelina Jolie,2012,Golden Globes
Kristin Scott Thomas,2012,Golden Globes
Julie Christie,2011,Golden Globes
Jodie Foster,2011,Golden Globes
Angelina Jolie,2011,Golden Globes
